data_format,development_key,status,year_completed,street_address,property_id,floors_above,town_planning_application,longitude,latitude
Post May 16,X0003217,COMPLETED,2023,"404-418 Spencer Street, West Melbourne, 3003",108948,20,TP-2018-63/A,144.9506416,-37.8106576
Post May 16,X0010004,COMPLETED,2023,11-49 Galada Avenue PARKVILLE VIC 3052,653559,15,ID-2020-8,144.9402265,-37.78154204
Post May 16,X0007608,COMPLETED,2023,"1 Lennon Street, West Melbourne, 3003",105528,3,TP-2019-852,144.9276447,-37.80056882
Post May 16,X001536,COMPLETED,2023,273-279 Little Collins Street MELBOURNE VIC 3000,105922,3,TP-2016-683,144.9653695,-37.81490297
Post May 16,X0006809,COMPLETED,2023,172-184 Roden Street WEST MELBOURNE VIC 3003,108367,7,TP-2018-88/A,144.9460503,-37.80853781
Post May 16,X0008015,COMPLETED,2024,"23-29 Victoria Street, MELBOURNE, 3000",109679,25,TP-2017-461/A,144.9668,-37.8073
Post May 16,X0008020,COMPLETED,2024,"550-558 Spencer Street, West Melbourne, 3003",108934,8,TP-2020-12,144.9479085,-37.80733728
Post Oct 2022,X0014400,COMPLETED,2024,477-479 St Kilda Road MELBOURNE VIC 3004,108638,0,TP-2023-149,144.9785583,-37.84188076
Post May 16,X0004409,APPLIED,,207 Kensington Road WEST MELBOURNE VIC 3003,105226,10,TP-2018-512,144.9165074,-37.80087212
Post May 16,X0011803,APPLIED,,"566-580 Flinders Street, Melbourne, 3000",103984,21,TP-2021-704,144.9553364,-37.82071126
Post May 16,X0013003,APPLIED,,"707 Collins Street, Docklands, 3008",605909,40,TPM-2022-8,144.9511384,-37.82088296
Post Oct 22,X0013707,APPLIED,,"303 Collins Street, Melbourne, 3000",110762,2,TP-2022-511,144.9638217,-37.81662849
Post Oct 22,X0014101,APPLIED,,351-387 Ingles Street PORT MELBOURNE VIC 3207,110860,1,TP-2016-1000/B,144.9336175,-37.82345847
Post Oct 2022,X0014401,APPLIED,,376-388 Flinders Street MELBOURNE VIC 3000,104002,16,TP-2023-161,144.9615549,-37.81884327
Post Oct 2022,X0014703,APPLIED,,58-66 La Trobe Street MELBOURNE VIC 3000,105491,42,TPM-2023-8,144.9669434,-37.80829651
Post Oct 2022,X0014804,APPLIED,,65-159 Victoria Street MELBOURNE VIC 3000,108118,29,TPMR-2023-12,144.9576396,-37.80783394
Post Oct 2022,X0014805,APPLIED,,65-159 Victoria Street MELBOURNE VIC 3000,108118,47,TPMR-2023-12,144.9576396,-37.80783394
Post Oct 2022,X0014902,APPLIED,,209-231 Little Collins Street MELBOURNE VIC 3000,105917,1,TP-2023-548,144.9670805,-37.81446448
Post Oct 2022,X0015100,APPLIED,,774-782 Elizabeth Street MELBOURNE VIC 3000,101048,0,PAM-2023-582,144.9584107,-37.80041001
Post Oct 2022,X0015202,APPLIED,,65-159 Victoria Street MELBOURNE VIC 3000,108118,54,TPMR-2023-21,144.9576396,-37.80783394
Post Oct 2022,X0015203,APPLIED,,366-422 Abbotsford Street NORTH MELBOURNE VIC 3051,100108,5,TPM-2021-5/B,144.9468176,-37.79748714
Post Oct 2022,X0015204,APPLIED,,366-422 Abbotsford Street NORTH MELBOURNE VIC 3051,100108,5,TPM-2021-5/B,144.9468176,-37.79748714
Post Oct 2022,X0015302,APPLIED,,223-245 Salmon Street PORT MELBOURNE VIC 3207,110509,4,ID-2023-3,144.917861,-37.82401808
Post Oct 2022,X0015303,APPLIED,,223-245 Salmon Street PORT MELBOURNE VIC 3207,110509,3,ID-2023-3,144.917861,-37.82401808
Post Oct 2022,X0015304,APPLIED,,223-245 Salmon Street PORT MELBOURNE VIC 3207,110509,2,ID-2023-3,144.917861,-37.82401808
Post Oct 2022,X0015307,APPLIED,,"292 City Road, Southbank, 3006",110396,33,TP-2019-979/B,144.9586155,-37.82675831
Post Oct 2022,X0015507,APPLIED,,"118 City Road, Southbank, 3006",110384,102,TPMR-2019-24/F,144.9629471,-37.8229282
Post Oct 2022,X0015509,APPLIED,,"140 Harbour Esplanade, Docklands, 3008",558180,31,ID-2024-2,144.9474709,-37.81648708
Post Oct 2022,X0015510,APPLIED,,"140 Harbour Esplanade, Docklands, 3008",558180,27,ID-2024-2,144.9474709,-37.81648708
Post Oct 2022,X0015512,APPLIED,,111-129 Bourke Street MELBOURNE VIC 3000,103597,0,TP-2024-95,144.9701094,-37.81281423
Post Oct 2022,X0015701,APPLIED,,50-52 Victoria Street CARLTON VIC 3053,109854,4,TP-2024-243,144.9667592,-37.80676885
Post Oct 2022,X0015803,APPLIED,,127-129 Kavanagh Street SOUTHBANK VIC 3006,110412,48,TPMR-2010-28/C,144.9620288,-37.82660041
Post Oct 2022,X0015804,APPLIED,,371-389 La Trobe Street MELBOURNE VIC 3000,105457,71,TPMR-2016-14/A,144.9581378,-37.81163992
Post Oct 2022,X0015806,APPLIED,,"28 Clarendon Street, Southbank, 3006",110485,28,TP-2021-345/A,144.9563174,-37.82493678
Post Oct 2022,X0015807,APPLIED,,731-739 Flinders Street DOCKLANDS VIC 3008,103983,19,TPD-2012-32/F,144.9506,-37.8229
Post Oct 2022,X0015808,APPLIED,,276-278 Rosslyn Street WEST MELBOURNE VIC 3003,108417,5,TP-2024-364,144.9461125,-37.81059194
Post Oct 2022,X0015809,APPLIED,,"203-207 Lonsdale Street, Melbourne, 3000",105690,8,TP-2020-30/A,144.966354,-37.81133115
Post Oct 2022,X0015810,APPLIED,,"42 Moray Street, Southbank, 3006",110635,58,TPMR-2016-22/C,144.9604137,-37.82754797
Post Oct 2022,X0015814,APPLIED,,10 Radcliffe Street WEST MELBOURNE VIC 3003,108120,2,TP-2024-435,144.9321014,-37.80259465
Post May 16,X0012600,APPROVED,,"204-208 Albert Street, East Melbourne 3002",100363,7,TP-2022-23,144.9843298,-37.81013567
Post Oct 22,X0014011,APPROVED,,"218-246 Macaulay Road, North Melbourne, 3051",617399,12,TPM-2022-21,144.9383988,-37.79483181
Post Oct 2022,X0015207,APPROVED,,8 Collins Street MELBOURNE VIC 3000,102172,10,TP-2023-770,144.9732576,-37.81314305
Post Oct 2022,X0014900,APPROVED,,24 Little Docklands Drive DOCKLANDS VIC 3008,698068,19,TPM-2023-13,144.9401322,-37.81243429
Post Oct 2022,X0014903,APPROVED,,4-12 Leicester Place CARLTON VIC 3053,105507,15,TP-2017-616/A,144.9611847,-37.80275817
Post Oct 2022,X0015200,APPROVED,,505-515 Little Collins Street MELBOURNE VIC 3000,105940,0,TP-2023-733,144.9577987,-37.81719661
Post Oct 2022,X0014205,APPROVED,,"Lonsdale Court 600 Lonsdale Street, Melbourne, 3000",105720,40,TPMR-2019-20/D,144.9542959,-37.81419965
Post Oct 2022,X0014706,APPROVED,,"60 Collins Street, Melbourne, 3000",102164,38,TPMR-2019-25/C,144.9716239,-37.81362025
Post Oct 22,X0014005,APPROVED,,559-577 King Street WEST MELBOURNE VIC 3003,105347,6,TPM-2022-20,144.9497506,-37.80696616
Post May 16,X0011804,APPROVED,,"620-648 Little Bourke Street, Melbourne, 3000",110704,25,TP-2021-709,144.9535766,-37.81572243
